id,timestamp,interval,amount,meterAccount_id
613854,1371204000,3600,0.638,40
613855,1371207600,3600,0.425,40
613856,1371211200,3600,0.523,40
613857,1371214800,3600,2.605,40
613858,1371218400,3600,0.452,40
613859,1371222000,3600,0.075,40
613860,1371225600,3600,2.624,40
613861,1371229200,3600,0.98,40
613862,1371232800,3600,0.38,40
613863,1371236400,3600,0.065,40
613864,1371240000,3600,0.066,40
613865,1371243600,3600,0.374,40
613866,1371247200,3600,0.067,40
613867,1371250800,3600,0.079,40
613868,1371254400,3600,0.258,40
613869,1371258000,3600,0.563,40
613870,1371261600,3600,0.262,40
613871,1371265200,3600,0.394,40
613872,1371268800,3600,0.724,40
613873,1371272400,3600,0.439,40
613874,1371276000,3600,0.134,40
613875,1371279600,3600,0.134,40
613876,1371283200,3600,0.215,40
613877,1371286800,3600,1.901,40
613878,1371290400,3600,0.351,40
613879,1371294000,3600,0.707,40
613880,1371297600,3600,0.402,40
613881,1371301200,3600,0.406,40
613882,1371304800,3600,1.652,40
613883,1371308400,3600,1.39,40
613884,1371312000,3600,1.326,40
613885,1371315600,3600,4.295,40
613886,1371319200,3600,9.592,40
613887,1371322800,3600,6.665,40
613888,1371326400,3600,1.044,40
613889,1371330000,3600,3.342,40
613890,1371333600,3600,1.019,40
613891,1371337200,3600,0.665,40
613892,1371340800,3600,1.06,40
613893,1371344400,3600,0.935,40
613894,1371348000,3600,1.042,40
613895,1371351600,3600,2.816,40
613896,1371355200,3600,3.166,40
613897,1371358800,3600,0.641,40
613898,1371362400,3600,1.343,40
613899,1371366000,3600,3.76,40
613900,1371369600,3600,1.949,40
613901,1371373200,3600,0.439,40
613902,1371376800,3600,0.268,40
613903,1371380400,3600,0.572,40
613904,1371384000,3600,0.387,40
613905,1371387600,3600,0.361,40
613906,1371391200,3600,0.509,40
613907,1371394800,3600,0.256,40
613908,1371398400,3600,0.313,40
613909,1371402000,3600,0.665,40
613910,1371405600,3600,5.377,40
613911,1371409200,3600,1.806,40
613912,1371412800,3600,1.74,40
613913,1371416400,3600,1.012,40
613914,1371420000,3600,1.652,40
613915,1371423600,3600,6.793,40
613916,1371427200,3600,4.208,40
613917,1371430800,3600,6.818,40
613918,1371434400,3600,6.181,40
613919,1371438000,3600,2.794,40
613920,1371441600,3600,7.343,40
613921,1371445200,3600,4.085,40
613922,1371448800,3600,3.542,40
613923,1371452400,3600,2.381,40
613924,1371456000,3600,2.43,40
613925,1371459600,3600,0.949,40
613926,1371463200,3600,0.189,40
613927,1371466800,3600,0.481,40
613928,1371470400,3600,0.275,40
613929,1371474000,3600,0.183,40
613930,1371477600,3600,0.431,40
613931,1371481200,3600,2.156,40
613932,1371484800,3600,2.156,40
613933,1371488400,3600,1.134,40
613934,1371492000,3600,1.087,40
613935,1371495600,3600,1.547,40
613936,1371499200,3600,4.117,40
613937,1371502800,3600,0.389,40
613938,1371506400,3600,0.077,40
613939,1371510000,3600,0.064,40
613940,1371513600,3600,0.844,40
613941,1371517200,3600,1.483,40
613942,1371520800,3600,1.752,40
613943,1371524400,3600,1.252,40
613944,1371528000,3600,0.496,40
613945,1371531600,3600,0.511,40
613946,1371535200,3600,0.214,40
613947,1371538800,3600,0.23,40
613948,1371542400,3600,0.214,40
613949,1371546000,3600,0.516,40
613950,1371549600,3600,0.217,40
613951,1371553200,3600,0.212,40
613952,1371556800,3600,0.514,40
613953,1371560400,3600,0.212,40
613954,1371564000,3600,0.212,40
613955,1371567600,3600,0.221,40
613956,1371571200,3600,0.537,40
613957,1371574800,3600,0.55,40
613958,1371578400,3600,0.506,40
613959,1371582000,3600,1.174,40
613960,1371585600,3600,2.911,40
613961,1371589200,3600,0.059,40
613962,1371592800,3600,0.456,40
613963,1371596400,3600,0.062,40
613964,1371600000,3600,0.06,40
613965,1371603600,3600,3.208,40
613966,1371607200,3600,0.973,40
613967,1371610800,3600,0.491,40
613968,1371614400,3600,3.322,40
613969,1371618000,3600,0.97,40
613970,1371621600,3600,0.478,40
613971,1371625200,3600,0.133,40
613972,1371628800,3600,0.46,40
613973,1371632400,3600,0.174,40
613974,1371636000,3600,0.17,40
613975,1371639600,3600,0.181,40
613976,1371643200,3600,0.452,40
613977,1371646800,3600,1.076,40
613978,1371650400,3600,0.075,40
613979,1371654000,3600,0.059,40
613980,1371657600,3600,0.321,40
613981,1371661200,3600,0.072,40
613982,1371664800,3600,0.065,40
613983,1371668400,3600,0.061,40
613984,1371672000,3600,0.407,40
613985,1371675600,3600,0.068,40
613986,1371679200,3600,0.062,40
613987,1371682800,3600,0.079,40
613988,1371686400,3600,1.526,40
613989,1371690000,3600,1.927,40
613990,1371693600,3600,2.041,40
613991,1371697200,3600,1.512,40
613992,1371700800,3600,1.819,40
613993,1371704400,3600,0.923,40
613994,1371708000,3600,0.551,40
613995,1371711600,3600,0.482,40
613996,1371715200,3600,0.793,40
613997,1371718800,3600,0.475,40
613998,1371722400,3600,0.481,40
613999,1371726000,3600,0.268,40
614000,1371729600,3600,0.487,40
614001,1371733200,3600,0.168,40
614002,1371736800,3600,0.168,40
614003,1371740400,3600,0.153,40
614004,1371744000,3600,0.506,40
614005,1371747600,3600,0.158,40
614006,1371751200,3600,0.163,40
614007,1371754800,3600,0.166,40
614008,1371758400,3600,0.156,40
614009,1371762000,3600,0.518,40
614010,1371765600,3600,0.164,40
614011,1371769200,3600,0.165,40
614012,1371772800,3600,0.162,40
614013,1371776400,3600,0.548,40
614014,1371780000,3600,0.426,40
614015,1371783600,3600,1.129,40
614016,1371787200,3600,0.58,40
614017,1371790800,3600,0.156,40
614018,1371794400,3600,0.494,40
614019,1371798000,3600,0.193,40
614020,1371801600,3600,0.158,40
614021,1371805200,3600,0.511,40
614022,1371808800,3600,0.152,40
614023,1371812400,3600,0.151,40
614024,1371816000,3600,0.151,40
614025,1371819600,3600,3.373,40
614026,1371823200,3600,0.078,40
614027,1371826800,3600,0.373,40
614028,1371830400,3600,0.064,40
614029,1371834000,3600,0.064,40
614030,1371837600,3600,0.369,40
614031,1371841200,3600,0.067,40
614032,1371844800,3600,0.069,40
614033,1371848400,3600,0.07,40
614034,1371852000,3600,0.401,40
614035,1371855600,3600,0.072,40
614036,1371859200,3600,0.135,40
614037,1371862800,3600,0.543,40
614038,1371866400,3600,1.399,40
614039,1371870000,3600,2.261,40
614040,1371873600,3600,3.469,40
614041,1371877200,3600,0.874,40
614042,1371880800,3600,1.172,40
614043,1371884400,3600,0.863,40
614044,1371888000,3600,1.206,40
614045,1371891600,3600,0.862,40
614046,1371895200,3600,0.86,40
614047,1371898800,3600,0.86,40
614048,1371902400,3600,1.975,40
614049,1371906000,3600,3.32,40
614050,1371909600,3600,0.113,40
614051,1371913200,3600,0.403,40
614052,1371916800,3600,0.114,40
614053,1371920400,3600,0.115,40
614054,1371924000,3600,0.439,40
614055,1371927600,3600,0.116,40
614056,1371931200,3600,0.116,40
614057,1371934800,3600,0.118,40
614058,1371938400,3600,0.403,40
614059,1371942000,3600,0.194,40
614060,1371945600,3600,1.324,40
614061,1371949200,3600,1.319,40
614062,1371952800,3600,1.573,40
614063,1371956400,3600,1.172,40
614064,1371960000,3600,1.306,40
614065,1371963600,3600,0.986,40
614066,1371967200,3600,0.485,40
614067,1371970800,3600,0.54,40
614068,1371974400,3600,0.22,40
614069,1371978000,3600,0.22,40
614070,1371981600,3600,0.218,40
614071,1371985200,3600,0.549,40
614072,1371988800,3600,0.497,40
614073,1371992400,3600,2.77,40
614074,1371996000,3600,0.115,40
614075,1371999600,3600,0.113,40
614076,1372003200,3600,0.397,40
614077,1372006800,3600,0.112,40
614078,1372010400,3600,0.113,40
614079,1372014000,3600,0.113,40
614080,1372017600,3600,0.472,40
614081,1372021200,3600,0.113,40
614082,1372024800,3600,0.113,40
614083,1372028400,3600,0.884,40
614084,1372032000,3600,2.33,40
614085,1372035600,3600,3.713,40
614086,1372039200,3600,1.504,40
614087,1372042800,3600,1.179,40
614088,1372046400,3600,1.471,40
614089,1372050000,3600,2.178,40
614090,1372053600,3600,4.724,40
614091,1372057200,3600,5.043,40
614092,1372060800,3600,2.506,40
614093,1372064400,3600,2.01,40
614094,1372068000,3600,0.137,40
614095,1372071600,3600,0.419,40
614096,1372075200,3600,0.188,40
614097,1372078800,3600,0.257,40
614098,1372082400,3600,0.197,40
614099,1372086000,3600,0.418,40
614100,1372089600,3600,3.4,40
614101,1372093200,3600,5.468,40
614102,1372096800,3600,6.47,40
614103,1372100400,3600,4.001,40
614104,1372104000,3600,5.972,40
614105,1372107600,3600,2.97,40
614106,1372111200,3600,5.665,40
614107,1372114800,3600,2.532,40
614108,1372118400,3600,0.079,40
614109,1372122000,3600,2.009,40
614110,1372125600,3600,1.901,40
614111,1372129200,3600,5.419,40
614112,1372132800,3600,3.148,40
614113,1372136400,3600,4.179,40
614114,1372140000,3600,1.233,40
614115,1372143600,3600,1.786,40
614116,1372147200,3600,0.148,40
614117,1372150800,3600,0.419,40
614118,1372154400,3600,0.139,40
614119,1372158000,3600,0.138,40
614120,1372161600,3600,0.139,40
614121,1372165200,3600,0.396,40
614122,1372168800,3600,0.088,40
614123,1372172400,3600,0.068,40
614124,1372176000,3600,0.383,40
614125,1372179600,3600,4.958,40
614126,1372183200,3600,1.735,40
614127,1372186800,3600,0.419,40
614128,1372190400,3600,0.396,40
614129,1372194000,3600,0.577,40
614130,1372197600,3600,0.346,40
614131,1372201200,3600,0.239,40
614132,1372204800,3600,0.338,40
614133,1372208400,3600,0.07,40
614134,1372212000,3600,0.654,40
614135,1372215600,3600,0.967,40
614136,1372219200,3600,0.301,40
614137,1372222800,3600,0.982,40
614138,1372226400,3600,1.379,40
614139,1372230000,3600,1.239,40
614140,1372233600,3600,0.154,40
614141,1372237200,3600,0.416,40
614142,1372240800,3600,0.139,40
614143,1372244400,3600,0.137,40
614144,1372248000,3600,0.399,40
614145,1372251600,3600,0.137,40
614146,1372255200,3600,0.137,40
614147,1372258800,3600,0.136,40
614148,1372262400,3600,0.759,40
614149,1372266000,3600,1.397,40
614150,1372269600,3600,4.156,40
614151,1372273200,3600,2.497,40
614152,1372276800,3600,0.605,40
614153,1372280400,3600,2.958,40
614154,1372284000,3600,3.221,40
614155,1372287600,3600,2.225,40
614156,1372291200,3600,3.554,40
614157,1372294800,3600,2.368,40
614158,1372298400,3600,1.84,40
614159,1372302000,3600,0.968,40
614160,1372305600,3600,2.486,40
614161,1372309200,3600,3.1,40
614162,1372312800,3600,0.256,40
614163,1372316400,3600,0.242,40
614164,1372320000,3600,2.681,40
614165,1372323600,3600,0.241,40
614166,1372327200,3600,0.487,40
614167,1372330800,3600,0.223,40
614168,1372334400,3600,0.224,40
614169,1372338000,3600,0.458,40
614170,1372341600,3600,0.071,40
614171,1372345200,3600,0.071,40
614172,1372348800,3600,1.945,40
614173,1372352400,3600,1.237,40
614174,1372356000,3600,0.67,40
614175,1372359600,3600,7.371,40
614176,1372363200,3600,3.047,40
614177,1372366800,3600,0.404,40
614178,1372370400,3600,0.078,40
614179,1372374000,3600,0.08,40
614180,1372377600,3600,0.365,40
614181,1372381200,3600,0.079,40
614182,1372384800,3600,0.136,40
614183,1372388400,3600,0.404,40
614184,1372392000,3600,0.079,40
614185,1372395600,3600,0.079,40
614186,1372399200,3600,0.078,40
614187,1372402800,3600,0.367,40
614188,1372406400,3600,1.471,40
614189,1372410000,3600,0.077,40
614190,1372413600,3600,0.074,40
614191,1372417200,3600,0.326,40
614192,1372420800,3600,0.074,40
614193,1372424400,3600,0.071,40
614194,1372428000,3600,0.071,40
614195,1372431600,3600,0.349,40
614196,1372435200,3600,2.02,40
614197,1372438800,3600,1.301,40
614198,1372442400,3600,0.39,40
614199,1372446000,3600,0.076,40
614200,1372449600,3600,0.07,40
614201,1372453200,3600,0.355,40
614202,1372456800,3600,0.073,40
614203,1372460400,3600,1.055,40
614204,1372464000,3600,2.687,40
614205,1372467600,3600,0.403,40
614206,1372471200,3600,0.071,40
614207,1372474800,3600,0.075,40
614208,1372478400,3600,0.364,40
614209,1372482000,3600,0.073,40
614210,1372485600,3600,0.584,40
614211,1372489200,3600,1.106,40
614212,1372492800,3600,0.079,40
614213,1372496400,3600,0.329,40
614214,1372500000,3600,0.072,40
614215,1372503600,3600,0.07,40
614216,1372507200,3600,0.336,40
614217,1372510800,3600,0.068,40
614218,1372514400,3600,0.068,40
614219,1372518000,3600,0.068,40
614220,1372521600,3600,0.354,40
614221,1372525200,3600,0.539,40
614222,1372528800,3600,0.523,40
614223,1372532400,3600,0.179,40
614224,1372536000,3600,0.669,40
614225,1372539600,3600,1.012,40
614226,1372543200,3600,2.479,40
614227,1372546800,3600,1.281,40
614228,1372550400,3600,8.254,40
614229,1372554000,3600,0.815,40
614230,1372557600,3600,0.412,40
614231,1372561200,3600,0.482,40
614232,1372564800,3600,0.647,40
614233,1372568400,3600,2.326,40
614234,1372572000,3600,0.869,40
614235,1372575600,3600,0.617,40
614236,1372579200,3600,0.365,40
614237,1372582800,3600,0.073,40
614238,1372586400,3600,0.071,40
614239,1372590000,3600,0.344,40
614240,1372593600,3600,0.077,40
614241,1372597200,3600,0.076,40
614242,1372600800,3600,0.073,40
614243,1372604400,3600,0.439,40
614244,1372608000,3600,0.722,40
614245,1372611600,3600,0.179,40
614246,1372615200,3600,0.227,40
614247,1372618800,3600,3.043,40
614248,1372622400,3600,0.92,40
614249,1372626000,3600,0.253,40
614250,1372629600,3600,1.779,40
614251,1372633200,3600,3.971,40
614252,1372636800,3600,3.337,40
614253,1372640400,3600,1.463,40
614254,1372644000,3600,0.068,40
614255,1372647600,3600,0.623,40
614256,1372651200,3600,2.953,40
614257,1372654800,3600,0.072,40
614258,1372658400,3600,0.372,40
614259,1372662000,3600,0.637,40
614260,1372665600,3600,1.248,40
614261,1372669200,3600,2.035,40
614262,1372672800,3600,1.235,40
614263,1372676400,3600,0.205,40
614264,1372680000,3600,2.465,40
614265,1372683600,3600,1.397,40
614266,1372687200,3600,0.227,40
614267,1372690800,3600,0.202,40
614268,1372694400,3600,0.436,40
614269,1372698000,3600,2.035,40
614270,1372701600,3600,0.458,40
614271,1372705200,3600,0.077,40
614272,1372708800,3600,0.328,40
614273,1372712400,3600,0.077,40
614274,1372716000,3600,0.07,40
614275,1372719600,3600,0.505,40
614276,1372723200,3600,2.028,40
614277,1372726800,3600,0.576,40
614278,1372730400,3600,4.225,40
614279,1372734000,3600,2.521,40
614280,1372737600,3600,1.634,40
614281,1372741200,3600,0.511,40
614282,1372744800,3600,0.14,40
614283,1372748400,3600,0.416,40
614284,1372752000,3600,0.142,40
614285,1372755600,3600,0.146,40
614286,1372759200,3600,0.146,40
614287,1372762800,3600,0.4,40
614288,1372766400,3600,0.148,40
614289,1372770000,3600,0.296,40
614290,1372773600,3600,0.069,40
614291,1372777200,3600,0.367,40
614292,1372780800,3600,0.067,40
614293,1372784400,3600,0.073,40
614294,1372788000,3600,0.075,40
614295,1372791600,3600,0.065,40
614296,1372795200,3600,0.403,40
614297,1372798800,3600,0.066,40
614298,1372802400,3600,0.082,40
614299,1372806000,3600,0.083,40
614300,1372809600,3600,0.547,40
614301,1372813200,3600,1.333,40
614302,1372816800,3600,1.297,40
614303,1372820400,3600,1.243,40
614304,1372824000,3600,1.04,40
614305,1372827600,3600,0.56,40
614306,1372831200,3600,0.216,40
614307,1372834800,3600,0.218,40
614308,1372838400,3600,0.207,40
614309,1372842000,3600,0.52,40
614310,1372845600,3600,0.219,40
614311,1372849200,3600,0.205,40
614312,1372852800,3600,0.205,40
614313,1372856400,3600,0.574,40
614314,1372860000,3600,0.064,40
614315,1372863600,3600,0.064,40
614316,1372867200,3600,0.068,40
614317,1372870800,3600,0.187,40
614318,1372874400,3600,0.416,40
614319,1372878000,3600,0.076,40
614320,1372881600,3600,0.066,40
614321,1372885200,3600,0.065,40
614322,1372888800,3600,0.082,40
614323,1372892400,3600,0.398,40
614324,1372896000,3600,2.997,40
614325,1372899600,3600,3.188,40
614326,1372903200,3600,4.203,40
614327,1372906800,3600,0.504,40
614328,1372910400,3600,1.115,40
614329,1372914000,3600,0.562,40
614330,1372917600,3600,0.206,40
614331,1372921200,3600,0.223,40
614332,1372924800,3600,0.491,40
614333,1372928400,3600,0.209,40
614334,1372932000,3600,0.218,40
614335,1372935600,3600,0.204,40
614336,1372939200,3600,0.511,40
614337,1372942800,3600,0.412,40
614338,1372946400,3600,0.064,40
614339,1372950000,3600,0.075,40
614340,1372953600,3600,0.07,40
614341,1372957200,3600,0.367,40
614342,1372960800,3600,0.079,40
614343,1372964400,3600,0.068,40
614344,1372968000,3600,0.067,40
614345,1372971600,3600,0.083,40
614346,1372975200,3600,0.419,40
614347,1372978800,3600,0.976,40
614348,1372982400,3600,1.166,40
614349,1372986000,3600,0.565,40
614350,1372989600,3600,0.269,40
614351,1372993200,3600,0.404,40
614352,1372996800,3600,0.155,40
614353,1373000400,3600,1.019,40
614354,1373004000,3600,1.108,40
614355,1373007600,3600,0.523,40
614356,1373011200,3600,0.206,40
614357,1373014800,3600,0.217,40
614358,1373018400,3600,0.209,40
614359,1373022000,3600,0.494,40
614360,1373025600,3600,0.223,40
614361,1373029200,3600,3.046,40
614362,1373032800,3600,0.234,40
614363,1373036400,3600,0.388,40
614364,1373040000,3600,0.098,40
614365,1373043600,3600,0.101,40
614366,1373047200,3600,0.088,40
614367,1373050800,3600,0.379,40
614368,1373054400,3600,0.103,40
614369,1373058000,3600,0.088,40
614370,1373061600,3600,0.089,40
614371,1373065200,3600,0.432,40
614372,1373068800,3600,1.081,40
614373,1373072400,3600,1.171,40
614374,1373076000,3600,2.337,40
614375,1373079600,3600,0.47,40
614376,1373083200,3600,0.153,40
614377,1373086800,3600,0.14,40
614378,1373090400,3600,0.48,40
614379,1373094000,3600,0.221,40
614380,1373097600,3600,0.208,40
614381,1373101200,3600,0.493,40
614382,1373104800,3600,0.219,40
614383,1373108400,3600,0.207,40
614384,1373112000,3600,0.207,40
614385,1373115600,3600,0.506,40
614386,1373119200,3600,0.21,40
614387,1373122800,3600,0.206,40
614388,1373126400,3600,0.209,40
614389,1373130000,3600,0.545,40
614390,1373133600,3600,0.506,40
614391,1373137200,3600,2.505,40
614392,1373140800,3600,0.068,40
614393,1373144400,3600,4.832,40
614394,1373148000,3600,4.603,40
614395,1373151600,3600,0.077,40
614396,1373155200,3600,0.412,40
614397,1373158800,3600,0.07,40
614398,1373162400,3600,0.88,40
614399,1373166000,3600,1.54,40
614400,1373169600,3600,0.432,40
614401,1373173200,3600,0.22,40
614402,1373176800,3600,0.494,40
614403,1373180400,3600,0.206,40
614404,1373184000,3600,0.215,40
614405,1373187600,3600,0.202,40
614406,1373191200,3600,0.509,40
614407,1373194800,3600,0.214,40
614408,1373198400,3600,0.201,40
614409,1373202000,3600,0.202,40
614410,1373205600,3600,0.504,40
614411,1373209200,3600,0.813,40
614412,1373212800,3600,0.323,40
614413,1373216400,3600,0.064,40
614414,1373220000,3600,0.071,40
614415,1373223600,3600,0.131,40
